	text	DIALECT	IRONY
10	"حكومة ورئيس مسيبين مشاكل تونس لكل وشادين في مضمون مسلسل يكفي التنبية على مشاهديه ان به مشاهد لا تعني فئات عمرية ...
او طلب تأخير بثه بعد فترة الافطار ...يمكن أن يبث مثلا بعد العاشرة ليلا

هل ان منظومة الحكم الحالية شعورها مرهف ام بينها وبين العقل حجاب"	1	0.0
11	"حاسبيني على غلط انا عملتوا ماتحاسبيني على غلط ما إلي ذنب فيه💔🥺
اووووف يانادين قديش هالجملة مؤلمة وحقيقية تعبر عن كل بنت بيرفضها كل فئات المجتمع بذنب ماخصها فيه💔 #واخيراً #نادين_نسيب_نجيم https://t.co/6hnw4hDSS8"	3	0.0
12	"""علاقة فئات كبيرة من المجتمع التونسي بالعمل غير سويّة"" - https://t.co/fUv39WhFiq"	1	0.0
13	"تتجه نقابات الصيادلة إلى مزيد من التصعيد كرد فعل على تقرير المجلس الأعلى للحسابات، الذي أورد أن أرباح الصيادلة تتراوح بين 47 في المائة و57 في المائة حسب فئات الأدوية، حيث تستعد لخوض سلسلة من الإضرابات ابتداء من الأسبوع المقبل.
#المغرب #الصيادلة #الصحة #إضرابات https://t.co/AkhCzbwed7"	1	0.0
14	@khaledo_m7575 @AwrasMedia هه اييه هذيك هي اسبانيا  يا واحد البقوقوا  اصلا اسبانيا راهي داخلة حدودها في دياركم ومجال الصحراء الغربية تحت امرتها  يا المذلول...  امر اخر فيات ولا غيرها هذيك علامة ايطالية  علاه قبلها جزائريين كانوا بلا سيارات..وهذيك  الورقة  انتاع الدرهم ما تشريلكش حتى مصروف انتاع نهار🤣	2	1.0
15	"@azzedine1997 @jamalha69948126 @miromiso5 بدا يغير جنسية نتاعو قبل تربص باسبوع فات عليه الحال

لعب مع فئات شبانية الالمانية"	2	0.0
16	"نتائج فئات الوداد الرياضي السنية
فئة الشبان U19
WAC 1-1 RCA
فئة الفتيان U17
WAC 0-1 RCA
فئة الصغار U15 في راحة
تواجد مناصري وينرز 2005 بمركب بنجلون https://t.co/hP10eRelOa"	1	0.0
17	"فيات : هذا توقيت العمل خلال شهر رمضان للطلبات المسبقة
التفاصيل⏪ : https://t.co/bgTrrTtE7W https://t.co/IKvzbsDJth"	1	0.0
18	#فيات ” Scudo” متوفرة للطلب بـ 397 مليون سنتيم التفاصيل: https://t.co/oqx86L5CEY https://t.co/0tWqYCtIRa	1	0.0
19	فيات”Tipo Sedan” متوفرة للطلب ابتداء من 299 مليون سنتيم التفاصيل: https://t.co/uHMmir1esx https://t.co/WJG0Jf6695	1	0.0
20	"فيات ” Doblo” متوفرة للطلب بحوالي 326 مليون سنتيم
التفاصيل: https://t.co/S4OKkKez7V https://t.co/gwTBwHaLvL"	1	0.0
21	@LahounWBass ههه اهل الخليج تيشريو لاندكروزر والفقاقير بصحتهم فيات 500	2	1.0
22	"صادفت اليوم جارا لي يركن سيارة فيات ٥٠٠في مرحبا السيارات فباركت له السيارة الجديدة قال لي السيارة مستعملة وقد اشتريتها لابنتي الطالبة بكلية الطب لتتنقل عليها ولا تصلح لدكالي طوله متر وتسعون، ثم تابع ضاحكا سيارة""حمير جدة"" هي فقط تصلح للكراغلة داروا عليها عيد وطني ولاد المهابيل. https://t.co/rDHUadL2a0"	1	1.0
22	"صادفت اليوم جارا لي يركن سيارة فيات ٥٠٠في مرحبا السيارات فباركت له السيارة الجديدة قال لي السيارة مستعملة وقد اشتريتها لابنتي الطالبة بكلية الطب لتتنقل عليها ولا تصلح لدكالي طوله متر وتسعون، ثم تابع ضاحكا سيارة""حمير جدة"" هي فقط تصلح للكراغلة داروا عليها عيد وطني ولاد المهابيل. https://t.co/rDHUadL2a0"	2	1.0
23	شكون نرضي يما ولا مرتي فيات 500 بـ260مليون أوو مانقدرش نرفد العايلة؟؟ https://t.co/hvczyFmRsA	2	1.0
24	الجزائري يجني الترفاس وفقاع من لرض باطل و يبيعهم بمليون للكيلو ويحوس الطلياني يبيعلو فيات ب70 مليون	2	1.0
25	 @saidabarnouse نبح بعيد يا بوصبع 😂😂😂، بصحتكم سيارة فيات الحلزونة 😉😂😂😂😂	2	1.0
26	@AlgerinoSamy @saidabarnouse هل تعلم أن تلك القفة تساوي مصاريف رمضان الله يخلف على من جاد، الخير فاليهود المغاربة وليس في جار  حقود، هذه عادات المغاربة شهر رمضان هو شهر لتبادل المساعدات والتقرب إلى الله، وبصحتكم سيارة فيات الحلزونة 😉	1	1.0
26	@AlgerinoSamy @saidabarnouse هل تعلم أن تلك القفة تساوي مصاريف رمضان الله يخلف على من جاد، الخير فاليهود المغاربة وليس في جار  حقود، هذه عادات المغاربة شهر رمضان هو شهر لتبادل المساعدات والتقرب إلى الله، وبصحتكم سيارة فيات الحلزونة 😉	2	1.0
27	@AlgerinoSamy @saidabarnouse 😂😂😂😂 هادي الهبيلة ديالنا، مسكينة دارت جميع المحاولات باش توصل للسلطة ولكن المغاربة ليسوا كالجزائريين، لن تحكمهم امرأة يسارية بتوجه علماني انتقامي، نوض على سلامتك وبصحتكم سيارة فيات الحلزونة 😂😂😂	2	1.0
28	@AlgerinoSamy @saidabarnouse ربي ربي، شكرا على المعلومة 😂😂، شريتي سيارة فيات ولا مزال ههههه، كاش سميد ولا	2	1.0
29	"يا الحركي ما فائدة البنزين الرخيص وانت سوف تستعمله في فيات 500؟

#الجزائر https://t.co/aGb5xUKysG"	1	1.0
30	@Naddyya666 نتج ذلك عن انصهار مجموعة بوجو سيتروين مع مجموعة فيات كريزلير في 2019 واصبحت المجموعة تسمى ستيلانتيس: تنتج علامات بوجو وسيتروين وأوبيل وفياط وألفا روميو وجييب وغيرها ... لها مصنع في ضواحي القنيطرة. فيات لم تعد مستقلة بذاتها حتى تكون لها سياسة منفردة... الكراغلة غير كيخورو	1	1.0
30	@Naddyya666 نتج ذلك عن انصهار مجموعة بوجو سيتروين مع مجموعة فيات كريزلير في 2019 واصبحت المجموعة تسمى ستيلانتيس: تنتج علامات بوجو وسيتروين وأوبيل وفياط وألفا روميو وجييب وغيرها ... لها مصنع في ضواحي القنيطرة. فيات لم تعد مستقلة بذاتها حتى تكون لها سياسة منفردة... الكراغلة غير كيخورو	2	1.0
31	@MohamedHnid لا يجوز الجمع فحقيقة الأمر من هذا الطاغية الناس في ليبيا تنقسم الي 3 فئات؛ فئة قليلة وهي من اتزمزك الي هذا المتخلف ويطبلوله فهي في الاصل من حي الفاتح لحي المشيـــــر تغيرت الاسماء والزريبة واحدة،وفئة لا تبي هذا ولا ذاك وهي الاغلبية العظمى، وفئة لا تريده وهي اكثر من الفئة الاولة.	1	0.0
32	"المواطنين في الدول الخليجية يشترون آخر صيحات السيارات ودولهم تمنح لهم كل التسهيلات (ماشاء الله) وبوصبع المغبون رغم نفس الثروات عايش المزرية و #الكابرنات يتشرطو عليه باش يشري #فيات 500 😂😂 

أليس في #الكراغلة عاقل يطرح سؤال لماذا رغم النفط والغاز عايشين في الفقر …كيفاه!
#الجزائر https://t.co/Y4tJv9J25v"	1	1.0
32	"المواطنين في الدول الخليجية يشترون آخر صيحات السيارات ودولهم تمنح لهم كل التسهيلات (ماشاء الله) وبوصبع المغبون رغم نفس الثروات عايش المزرية و #الكابرنات يتشرطو عليه باش يشري #فيات 500 😂😂 

أليس في #الكراغلة عاقل يطرح سؤال لماذا رغم النفط والغاز عايشين في الفقر …كيفاه!
#الجزائر https://t.co/Y4tJv9J25v"	2	1.0
33	المبادرة تروم تقريب السمك المجمد على ظهر بواخر الصيد بأعالي البحار من المستهلك المغربي وبثمن مناسب، خاصة في رمضان الذي يشهد إقبالا متزايدا على استهلاك منتوجات البحر من كل فئات المجتمع.	1	0.0
34	شابة جزائرية تصبح أول شخص يمتلك سيارة فيات 500 المستوردة https://t.co/FfVy8joojH	1	0.0
35	"""سيبقى هناك كتاب رديئون مادامت هناك فئات عمرية غير ناضجة، فهي تجد ضالتها فيما يكتبه هؤلاء، ولو أن عمر الانسان طويل لزاد عدد القراء الناضجين، وفي غمرة شباب الغير ناضجين ستجدهم يرغبون فيما يلبي حاجاتهم المتأججة، فيجدو ذلك في الكتاب الرديئون"""	1	0.0
36	"أكبر شمتة.. انجاز السيارة فيات 500 ""صوصو"" طلع فنكوش https://t.co/isHZOhsRGg via @YouTube"	2	1.0
37	@MouloudKhalloti و قنوات العار جايبين تقرير ڨد السخط على أنه الشعب لاباس بيه و فيات باتنة تلقت طلبات بشراء 1000 سيارة في يوم	2	1.0
38	مدير فيات : تسليم السيارات لهؤلاء الزبائن خلال 7 أيام https://t.co/QtlDUfIXPv	1	0.0
39	"🔴رسميا: 1200 طلبية شراء سيارة فيات من وكالة بن فليس موتورز  في ظرف 6 ساعات 
🔴الشعب الجزائري في المواقع افريقي والواقع خليجي."	1	1.0
40	"تساؤلات: ""فيات الجزائر"" تشرع رسميا في تسويق سيارتها .. التفاصيل https://t.co/upxed8UcUr"	1	0.0
41	باتنة:تعرف على سيارة فيات 500 و أسعار بيعها للإشارة أن عدد طلبيات الشراء فاقت 1200طلبية في يوم واحد https://t.co/M8XrXB9JHd	1	0.0
42	حكيم بوطهرة: 40 موزع للسيارات فيات و360 موظف مبيعات آخر السنة لإستقال الزبائن في أحسن الظروف https://t.co/ji9xg2mL9C	1	0.0
43	"ألم تلاحظوا ان الشعب في مواقع التواصل و على القنوات أصبح همه fiat  و الكلام الكثير ليل نهار على سيارة و كأنها شيء عظيم، قريب تولي كي الحج لازم قرعة و الغريب 5 سنوات كي تشري فيات باه تقدر تعاود تشري.
اتفه شيء في العالم أصبح هاجس عندنا
ماهذا الذي يحدث"	1	1.0
43	"ألم تلاحظوا ان الشعب في مواقع التواصل و على القنوات أصبح همه fiat  و الكلام الكثير ليل نهار على سيارة و كأنها شيء عظيم، قريب تولي كي الحج لازم قرعة و الغريب 5 سنوات كي تشري فيات باه تقدر تعاود تشري.
اتفه شيء في العالم أصبح هاجس عندنا
ماهذا الذي يحدث"	2	1.0
44	"@Hicham20634414 يعني رسمي خلاص؟
وينطبق على أي سيارات؟ تاع فيات والتي تخرج من المصنع؟ أو فقط المستوردة من طرف الوكلاء؟ أم على الجميع؟"	1	0.0
45	حكيم بوطهرة: إقبال كبير عرفته شبكة تسويق سيارات فيات وصل إلى 12 ألف زبون https://t.co/cpQOJyolMP	1	0.0
46	"@Aouatef23Dz صدقينى اليوم فشوارع برج بوعريريج سيارات فيات بكل الالوان زرقاء رمادية تجوب الشوارع فالنيلووون جديدة 
فالمواقع يقلهك غالية وفالواقع شراوهم من يوم وصولهم للارض الوطن 😌"	1	1.0
46	"@Aouatef23Dz صدقينى اليوم فشوارع برج بوعريريج سيارات فيات بكل الالوان زرقاء رمادية تجوب الشوارع فالنيلووون جديدة 
فالمواقع يقلهك غالية وفالواقع شراوهم من يوم وصولهم للارض الوطن 😌"	2	1.0
47	اذا حكاية باتنة و شراء ال فيات فالناس ناسيين بلي رح يزيدوا يدخلوا ماركات أخرى و ميقدروش يشريوا الا كل 5 سنين !؟ وش سبب اللهفة عند الشعب الجزائري؟	1	0.0
47	اذا حكاية باتنة و شراء ال فيات فالناس ناسيين بلي رح يزيدوا يدخلوا ماركات أخرى و ميقدروش يشريوا الا كل 5 سنين !؟ وش سبب اللهفة عند الشعب الجزائري؟	2	0.0
48	"1200 طلبية شراء سيارة فيات من وكالة باتنة في ظرف 6 ساعات. 
الشعب الجزائري في المواقع افريقي والواقع خليجي.

#الجزائر https://t.co/MbcPGmYTO4"	1	1.0
49	"ابسط ابسط مثال... 
هو امامنا  سيارة فيات الايطالية  والتي قد تكون  الارخص في ايطاليا...  المواطن الجزائري وجد  نفسه  غير قادر على شراءها بسبب قيمة الدينار  🤮😫"	1	0.0
50	"@chadisaraya1 ممكن في زمن قليل يعرف الحق 
بس كلنا بشر و بنغلط  مو معنى أننا اسؤ او افضل 
شعب لبناني كلو شعب طيب و كريم   بس فئات 
طغت و ستغلت نوايا شعب طيبة و اخذت و سلبت 
 كلنا مرينا ع اختيار سئ  بدل ما يطور و يدعم شعب 
يجي عكس 
بتمنى سلم و سلام #لبنان 🇱🇧 💝"	3	0.0
51	🔵🔵#شاهد.. إقبال المواطنين قاعات عرض #سيارات_فيات للممثل الرسمي للعلامة الإيطالية في #باتنة🇩🇿💪 https://t.co/MfAw3E69cy	1	0.0
52	"👇👇
فيديو نشرته على اليوتيوب تحت عنوان
👇👇
حكومة تبون تعزف النشيد الوطني بدخول فيات ..مخابرات شنقريحة وماكرون تحتج بجزائريين في باريس
👇👇
https://t.co/uez4T3LCHW
https://t.co/uez4T3LCHW
https://t.co/uez4T3LCHW https://t.co/oj9xjPyoXX"	1	0.0
53	@b31iela مودا جديدا راني نشوف فيها وهي توابل مغنية الناس راهم يحكو عليهم كتر من فيات 500🥴	2	1.0
54	@Aouatef23Dz حاجة باينة فيات تيبو آفار يلي يعرف لسوق السيارات وايضا الفورڨو رخيصة و Fiat 500X رخيصة	2	0.0
55	"باتنة| 1200 طلبية شراء سيارة #فيات في ظرف 6 ساعات
تحسب فيهم باطل"	1	1.0
55	"باتنة| 1200 طلبية شراء سيارة #فيات في ظرف 6 ساعات
تحسب فيهم باطل"	2	1.0
56	"زبائن فضوليون يكتشفون سيارة "" فيات"" في البليدة،  #البليدة #زبائن #سيارة #فضوليون #في #فيات #يكتشفون https://t.co/tQLCmfOJNO"	1	0.0
57	حبيت تقولنا أشرو بالسيف فيات؟؟؟ يا أخي فيات بالمعني و الحقيقة في الجزائر ماشي ناجحة https://t.co/mCJSSMTLa3	2	0.0
58	@saadsofiane4 ليس الامر مرتبط بالرضا على فيات او مقتها ومن يحاول أن يجعل من الموضوع جزء من الصراع الإيطالي والفرنسي على السوق الجزائرية محطأ ، كل ما في الأمر انه عبارة عن خيبة امل من الأسعار التي كانت مفاجئة خاصة في السيارات السياحية عكس النفسية	1	0.0
59	"صحيفة المواطن العسكرية ليوم الثلاثاء تقول دان مصنع فيات لنفخ العجلات سيساهم في رفع الناتج المحلي الجزائري ب 20 في المئة 
يعني تقريبا 36 مليار دولار  ..العسكر في الجزائر عندو  مشكل مع الارقام القياسيه https://t.co/tyaEnwmFr7"	1	1.0
59	"صحيفة المواطن العسكرية ليوم الثلاثاء تقول دان مصنع فيات لنفخ العجلات سيساهم في رفع الناتج المحلي الجزائري ب 20 في المئة 
يعني تقريبا 36 مليار دولار  ..العسكر في الجزائر عندو  مشكل مع الارقام القياسيه https://t.co/tyaEnwmFr7"	2	1.0
60	2000 منصب شغل جديد يوفره مصنع السيارات “فيات” قريبا https://t.co/vuwpr5gpRC	1	0.0
61	#صور | افتتاح قاعات العرض الخاصة بوكلاء علامة #فيات بالجزائر https://t.co/cxDzJka7Jq	1	0.0
62	"بالصور :
موديلات و أسعار سيارات فيات بالجزائر 👇👇 https://t.co/SjIztyoyLx"	1	0.0
63	"ويبيّن تحفظ السلطات التونسية بشأن التوصيات الداعية لإلغاء الفصل 230 من المجلة الجزائية ""النفاق الرسمي"" الذي تعتمده.إذ كيف نقبل التوصية بإلغاء الممارسات التمييزية ضد فئات الميم عين لنعود ونتحفظ بشأن إلغاء أهمّ ممارسة تمييزية ضدّها وهي تجريم الأشخاص الذين تشملهم على خلفية هويتهم؟
2"	1	0.0
64	بوغادي للإذاعة: مصنع فيات سيساهم في رفع الناتج المحلي بنسبة 20 بالمائة https://t.co/N3u0lL6njR	1	0.0
65	@batoulmaroc 🇲🇦الناس تتقدم في صناعة الطائرات والهوكلانديين مدابزين مع فيات خنيفيسة 😂😁😭 https://t.co/yLrbPwLPbL	2	1.0
66	"@fatahguerrad6 إيه واش دير
راهم يروجوا لشركة فيات
ولي جامي راح لسوق يأمن
ويشري فيات"	2	1.0
67	"تعرف على مواصفات أول محرك ""هجين"" في الجزائر في سيارات فيات https://t.co/LIcc53lpkS"	1	0.0
68	"#والي_وهران : استلام مصنع السيارات “فيات” نهاية أوت

#الجزائر #النهار #وطني #آخر_الأخبار #سيارات #سيارات_فيات 
#Algerie #EnnaharTV #EnnaharInfos #National #ActualitéAlgérie #Actualité #FIAT 
https://t.co/PzgcZ2nCPO https://t.co/KqnDkOTGrk"	1	0.0
69	@Aouatef23Dz @fiat سومة مليحة بزاف لانو فيات 500 هي سيارة فخمة سومتها قبل اسبوع ما تدخل كانت دير 500 مليون سنة 2017 اليوم جديدة جابوها 260 مليون يعني لا مجال للمقارنة	2	0.0
70	"يعد يوم السعادة حدث عالمي يتم الاحتفال به في جميع أنحاء العالم بهدف تعزيز مقومات السعادة ونشر الايجابية بين فئات المجتمع 💛
#اليوم_العالمي_للسعادة
#التوجيه_الطلابي https://t.co/Vqdb9uRZbr"	1	0.0
71	"لحدايد للشدايد 👇
ڤالها واحد 👇
سنكتفي بالحديد الموجود في لعدس
فيات 500 بـ
260 مليون فيها زوج بيبان 👇 https://t.co/uXas1ZonYy"	1	1.0
71	"لحدايد للشدايد 👇
ڤالها واحد 👇
سنكتفي بالحديد الموجود في لعدس
فيات 500 بـ
260 مليون فيها زوج بيبان 👇 https://t.co/uXas1ZonYy"	2	1.0
72	"✅ اكتشفوا سيارات فيات الإيطالية السياحية و النفعية في الجزائر 👇👇

#fiat #fiatdz https://t.co/c1cu0rXSw1"	1	0.0
73	"@Aouatef23Dz هههه
و ماذا ننتظر ممن كان يخطط لبيع سامبول 2017 بسعر 250 مليون و يشري فيات 2023 بسعر 150 مليون ؟"	1	1.0
73	"@Aouatef23Dz هههه
و ماذا ننتظر ممن كان يخطط لبيع سامبول 2017 بسعر 250 مليون و يشري فيات 2023 بسعر 150 مليون ؟"	2	1.0
74	"هام : 
شركة فيات الإيطالية : هذه أسعار المركبات السياحية والنفعية بالسوق الجزائرية 👇👇
التفاصيل⏪ : https://t.co/KJadTvayKj https://t.co/GO3HZBblUd"	1	0.0
75	"سيارات فيات بالجزائر.. مزايا ومواصفات – الشروق أونلاين
 https://t.co/CcA1L3ssBi
 #أونلاين #الشروق #بالجزائر #سيارات #فيات #مزايا #ومواصفات https://t.co/BpS7S6Wo9b"	1	0.0
76	"""#فيات_الجزائر_FIAT_Algérie"" تكشف عن 3 موديلات لـ #تيبو وأسعارها 
https://t.co/AvpOlCpzQR    
#الجزائر #النهار #آخر_الأخبار #أخبار_الجزائر #فيات  #أسعار_السيارات #سيارات_فيات 
#Algerie #EnnaharTV #EnnaharInfos #ActualitéAlgérie #Actualités #Fiat #GroupeFiat"	1	0.0
77	"@NaouiMounir1 @Abdella87 العلامات لي ستدخل ستحذو حذو فيات في السعر
و اعدك انه لن تدخل اي علامة للسوق هذا العام بأكمله ما عدا فيات
دير كابتير لكلامي"	1	0.0
77	"@NaouiMounir1 @Abdella87 العلامات لي ستدخل ستحذو حذو فيات في السعر
و اعدك انه لن تدخل اي علامة للسوق هذا العام بأكمله ما عدا فيات
دير كابتير لكلامي"	2	0.0
78	"إستيراد و تصنيع سيارات ""فيات""… خطوة لإنهاء أزمة السيارات في الجزائر https://t.co/mfMMzBDbXe"	1	0.0
79	"قال أن الجزائر تمتلك نقاط القوة لما يسمح لها بتقديم الإضافة للبريكس.. بوغادي:
 مصنع فيات سيساهم في رفع الناتج المحلي بـ20 بالمائة خلال سنتين
    التفاصيل: https://t.co/fBhT5o4CWa https://t.co/Gql5ZyG25U"	1	0.0
80	@yazid2022yazid صح مع البحث في عدة صفحات لقيت فيات 500 زايدة ب 3 الاف يورو عندنا	2	0.0
81	في تصريح حصري لـ “دزاير توب”: زبدي يعلّق على إعلان شركة “فيات” عن أسعار موديلات سياراتها التي تعتزم تسويقها بالجزائر https://t.co/EXKo9goQnuفي-تصريح-حصري-لـ-دزاير-توب-زبدي-يعلّق-ع/	1	0.0
82	"لائحة الوكلاء المعتمدين لعلامة فيات في الجزائر
التفاصيل عبر الرابط
https://t.co/ymDZHB6LEv
______________________________
حمل تطبيق الحراك الاخباري:
(أندرويد ) https://t.co/E6IyfCLedl
أو (أبل) Agroup LLC
https://t.co/jAXe5JP2Q4 https://t.co/JGsIIT873c"	1	0.0
83	"حالة الهذيان الجماعي التي تعيشها #الجزائر_اضحوكة_العالم بسبب وصول سيارات #فيات 500 إيطالية مستوردة و مصنعة بالكامل خارج #الجزائر و مظاهر الإحتفال الهستيرية التي عرفتها شوارع المدن الجزائرية بسبب هذا الحدث هي دليل فشل نظام #الكارنات الجزائري بعد 70 سنة من (الاستقلال).
#الكراغلة https://t.co/bD3A3g3APS"	1	1.0
84	#فيات_في_الجزائر إنجاز تاريخي جعل الصحافة الوطنية تتضامن و تقوم بالإشهار المجاني 💪🔥 https://t.co/pcD8ft4Y9p	1	0.0
85	"تعرف على الوكلاء المعتمدين لعلامة #فيات_في_الجزائر
https://t.co/yPLe5GXnR4
#الجزائر #النهار #آخر_الأخبار #أخبار_الجزائر #فيات  #أسعار_السيارات #سيارات_فيات 
#Algerie #EnnaharTV #EnnaharInfos #ActualitéAlgérie #Actualités #Fiat #GroupeFiat"	1	0.0
86	"▶️ #وهران: وفد من وزارة الصناعة و مجموعة ""ستيلانتيس"" يتفقدون مشروع مصنع #فيات_الجزائر https://t.co/bMEG8LoP0r"	1	0.0
87	"#فيديوغرافي 
اول دفعة من سيارات فيات تقتحم السوق الجزائرية
#الجزائر #الشبكة_الجزائرية_للأخبار #anndz https://t.co/oesy0VpuNE"	1	0.0
88	"🔴والي ولاية وهران سعيد سعيود خلال جلسة عمل مع ممثلي مجمع stellantis: 

🔹 أسعار سيارات فيات ستنخفض بعد دخول مصنع وهران حيز الإنتاج
🔹 مصنع فيات لتصنيع وإنتاج السيارات من أولوياته تغطية السوق المحلي قبل الإنتقال إلى التصدير https://t.co/CsyUHph4ct"	1	0.0
89	"بوغادي للإذاعة: مصنع #فيات سيساهم في رفع الناتج المحلي بنسبة 20 بالمائة
التفاصيل: https://t.co/0pNtwj6axi https://t.co/FHXsN0xFL9"	1	0.0
90	@sabahsidou ايه، باش تشوفي كيفاش يسيرو و الشعب فرحان رزيق راح و فيات دخلت شغل راح يولي الرخا يدهش	2	1.0
91	@arwahid اكسنت 2019 ب 200 مليون أحسن من فيات 2023  اما أكسنت 2012 ب 240 مليون هذى كذبة جامى صرات جامى فاتت 140 مليون .	1	0.0
92	سفير الجزائر لدى إيطاليا يعلق على جدل أسعار سيارات “فيات” via @@KhbrPRS https://t.co/8HiudRz5mc	1	0.0
93	ابناء الجالية يخرجون بالالاف في مظاهرات بباريس، كل التفاصيل عن اسعار سيارات فيات https://t.co/poKFE8J1uk	1	0.0
94	"#الجزائرالآن ...والي وهران يتفقد مدى تقدم الأشغال بمصنع ""فيات"" مرفوقا بالسفير الجزائري بإيطاليا والرئيس التنفيذي لمجمع ""ستيلانتيس""
ولاية وهران: نسبة الأشغال المبنى الأول بلغت 85٪ المبنى الثاني 35٪
https://t.co/NaefSEWa85 https://t.co/hFFHkBGplq"	1	0.0
95	"#شركة ""ستيلانتيس"" تخصص 200 مليون يورو كحصة أولى لإنتاج سيارات ""#فيات"" بالجزائر، كل التفاصيل موجودة في الرابط الآتي:
https://t.co/UJ7RjrsqHs
#الاقتصادية_الأولى https://t.co/tlAOtgDhiZ"	1	0.0
96	"أول تصريح رسمي بشأن أسعار سيارات ""فيات""
 https://t.co/lyjR3UfDTy
 #أسعار #أول #بشأن #تصريح #رسمي. #سيارات #فيات https://t.co/IcYIUL43rs"	1	0.0
97	"🔻المواطن الجزايري يحوس يبيع اكسنت 2012 بسعر 240 مليون و يشري فيات 2023، 0 كونتور بسعر 100 مليون 🤦🤦
حال و ناقش!؟"	1	1.0
97	"🔻المواطن الجزايري يحوس يبيع اكسنت 2012 بسعر 240 مليون و يشري فيات 2023، 0 كونتور بسعر 100 مليون 🤦🤦
حال و ناقش!؟"	2	1.0
98	"أول تعليق رسمي على جدل #أسعار_سيارات “فيات”
التفاصيل: https://t.co/amUpC0ej5c https://t.co/6RXuNMpZRr"	1	0.0
99	سفير الجزائر بإيطاليا يؤكد أن أسعار سيارات فيات ستنخفض https://t.co/EXKo9goQnuسفير-الجزائر-بإيطاليا-يؤكد-أن-أسعار-سي/	1	0.0
100	و اخيرا تم تقسيم مدرجات الملعب على اربع فئات مختلفة 👍 https://t.co/IsJHRSdmkg	1	0.0
101	"⬅️صور.. 
🔴والي وهران السعيد سعيود يزور  مصنع سيارات علامة ""فيات"" رفقة سفير الجزائر بايطاليا والرئيس التنفيذي لعمليات ""ستيلانتيس"" بافريقيا والشرق الاوسط
🔴نسبة تقدم الأشغال بلغت بالمبنى الأول 85% والمبنى الثاني 35% https://t.co/OJdzQ2hBOg"	1	0.0
102	"@El_Bilade 😂🤣😂🤣😂🤣😂🤣
حفل كبير في الشيراطون🇩🇿🇩🇿 بحضور مسؤولين كبار  لاستقبال اول سيارة فيات مستوردة ومستعملة في إيطاليا 😂🤣🏃🏽‍♀️"	1	1.0
103	"بالفيديو.. سفير الجزائر لدى إيطاليا يتحدث عن أسعار #سيارت_فيات المصنعة محليا
https://t.co/DoyikXghC5 https://t.co/Ge3VO2wOnj"	1	0.0
104	"الوالي السعيد سعيود : هذا موعد استلام مصنع شركة فيات بوهران 
التفاصيل⏪ :  https://t.co/VOGyayCnxV https://t.co/ScLUUVnThq"	1	0.0
